node_id,fma_id,canonical_name,side,region,segment,min_x,min_y,min_z,max_x,max_y,max_z,center_x,center_y,center_z
FJ3386,FMA52738,right temporal bone,right,skull,skull,-0.073989,1.475570,0.035013,-0.012695,1.551530,0.133736,-0.043342,1.513550,0.084374
FJ3387,FMA24477,right tibia,right,leg,lower_leg_r,-0.109353,-0.006037,0.052073,-0.035216,0.373920,0.114835,-0.072285,0.183941,0.083454
FJ3388,FMA24443,right trapezium,right,hand,hand_r,-0.281722,0.785805,0.117730,-0.264938,0.805733,0.134576,-0.273330,0.795769,0.126153
FJ3389,FMA23725,right trapezoid,right,hand,hand_r,-0.273261,0.782865,0.113527,-0.262140,0.795311,0.128388,-0.267701,0.789088,0.120957
FJ3390,FMA24439,right triquetral,right,hand,hand_r,-0.242766,0.788769,0.114631,-0.232157,0.802590,0.129736,-0.237461,0.795680,0.122184
FJ3391,FMA23467,right ulna,right,arm,forearm_r,-0.247179,0.805173,0.044799,-0.196881,1.052450,0.123494,-0.222030,0.928812,0.084147
FJ3392,FMA52892,right zygomatic bone,right,skull,skull,-0.064578,1.480640,0.121774,-0.033235,1.536640,0.161453,-0.048906,1.508640,0.141614
FJ3393,FMA16202,sacrum,midline,pelvis,pelvis,-0.059591,0.782837,-0.007254,0.058203,0.927200,0.081396,-0.000694,0.855019,0.037071
FJ3394,FMA52736,sphenoid bone,midline,skull,skull,-0.056320,1.478910,0.090413,0.055033,1.548460,0.145019,-0.000643,1.513685,0.117716
FJ3395,FMA9710,vomer,midline,skull,skull,-0.006111,1.474590,0.110747,0.004811,1.518110,0.165807,-0.000650,1.496350,0.138277
